st_code	mean_prec_mm	mean_PET_mm	mean_temp_C	Aridity index	Snow_Fraction	Area_SqM	Elevatiom_m	Slope_percent	Ks_log10_cm_per_day	theta_s	DTB_m	Max_water_content_m
05030500	2.08330598	2.163424032	5.78120288	1.03845717	0.184274461	283434998.1	407.1987627	4.266358	0.6124465	0.4306746	54.53874896	23.48845389
05046000	2.054490575	2.158849763	5.693286354	1.050795652	0.18768227	1913053148	406.8356433	4.823067	0.58095735	0.4156715	58.56600511	24.34421919
05051300	2.021625986	2.324996871	6.867598097	1.150062814	0.179804637	4816416611	324.8919845	2.4703164	0.21578297	0.40049404	62.62232249	25.07986693
05051522	1.976000604	2.301418309	6.590177574	1.164685023	0.184713749	14189939966	345.8519176	2.9210088	0.31261015	0.41737753	64.97060777	27.11727179
05052000	1.871041576	2.353449855	6.673783342	1.257828733	0.193218155	3506312081	381.4442019	2.926664	0.32986942	0.4377979	66.3833284	29.06248177
05054000	1.97336496	2.300199494	6.581773331	1.165622954	0.184783255	15286378161	341.4326889	2.8815932	0.31321132	0.41645628	65.33854477	27.2106473
05054500	1.672786243	2.239675014	5.225840066	1.338888949	0.234372633	1180100285	558.2876532	3.740006	0.30502835	0.40479785	55.75166603	22.56815454
05055300	1.65302617	2.200222107	5.008654077	1.331026784	0.228401772	4051900287	503.4297568	3.3918564	0.38918725	0.40556133	54.89652212	22.26390652
05056000	1.662509265	2.187170889	4.968171599	1.315584181	0.226959434	5168186285	494.844775	3.4339454	0.39147806	0.4056573	55.80124159	22.636181
05057000	1.654566846	2.118542536	4.457083059	1.280421242	0.225683514	17810654804	472.2894824	2.9328206	0.28675324	0.41232058	54.90999001	22.64051893
05057200	1.745117327	2.183803532	5.117627615	1.251379204	0.210728243	2116757128	449.9107356	2.637494	0.70840466	0.43692076	69.53962799	30.38330711
05058000	1.669935116	2.127438673	4.555176698	1.27396487	0.222916358	20783761941	468.161809	2.92492	0.33810505	0.41661793	57.14121797	23.80605595
05058700	1.682688079	2.136436267	4.658022354	1.269656743	0.219130448	22792077395	464.4088424	2.9667695	0.35151154	0.41785923	58.40485355	24.40500713
05059000	1.691775702	2.144972176	4.745145311	1.267882127	0.217016091	23979715048	458.4035442	2.9682546	0.36924046	0.4184205	58.88834418	24.64009042
05059700	1.841945923	2.219790164	5.810844545	1.205133189	0.193034409	2224929025	382.975408	2.655781	0.33386782	0.43209928	71.80471476	31.02676555
05060500	1.840057957	2.215297774	5.913866257	1.20392826	0.188265663	244311094.4	330.3935082	2.8357084	0.2844893	0.41528532	70.29336908	29.19180427
05061000	2.026560643	2.104191039	5.279270061	1.038306475	0.195351474	1419406747	433.7043204	4.3416057	0.28089836	0.40541482	63.93033624	25.91830576
05061500	1.972871678	2.205623941	6.089053002	1.117976382	0.184963665	858435725.1	330.6679162	3.0565062	0.54378194	0.40164572	72.46198581	29.10404646
05062500	2.000028915	2.071466081	5.097127127	1.035718066	0.198262236	2420875252	424.9806754	3.9870079	0.3896947	0.42701736	65.67466089	28.04422031
05063398	1.98936332	2.122617401	5.530873051	1.066983281	0.192513322	435823156.2	368.9865644	2.5334756	0.3099302	0.38811946	74.13723012	28.77410172
05064000	1.939119343	2.162895754	5.810013507	1.115401051	0.187180544	1572512838	312.2487559	2.3367357	0.35226294	0.39565387	72.78381847	28.79719945
05064500	1.822606319	2.204936448	5.556514696	1.209771098	0.200195209	51694983446	393.9580248	2.8976333	0.33599696	0.41605183	63.79689576	26.54281523
05066500	1.809812505	2.153823755	5.161316534	1.190081155	0.203298955	3076831810	372.2267322	2.7700262	0.28375775	0.4153829	68.4506726	28.43323889
05069000	1.944000531	2.10784303	5.361005027	1.084281098	0.191831138	1287902480	336.2830224	2.9783769	0.48208562	0.42340985	72.30620127	30.61515783
05079000	1.995871584	1.999648754	4.785197689	1.001892491	0.199917557	13665261749	367.4307461	2.760112	0.6176223	0.46529746	59.19913086	27.54520522
